Sl. No,NameOfIncident,Date,Month,Year,Country,TypeOfEvent,PlaceName,Impact,AffectedPopulation,ImportantPersonGroupResponsible,Outcome,latitude,longitude
236,Siege of Leningrad,8,September,1941.0,Russia,Military Siege,Saint Petersburg,"One of the longest and most destructive sieges in history, causing severe famine and casualties.","Civilians, Soviet military","Nazi Germany, Soviet Union",Negative,59.9606739,30.1586551
237,Battle of Stalingrad,17,July,1942.0,Russia,Military Battle,Volgograd,"A turning point in WWII on the Eastern Front, resulting in significant German losses.",Soviet and German military,"Soviet Union, Nazi Germany",Positive,48.7081906,44.5153353
238,Moscow Conference of Foreign Ministers,19,October,1943.0,Russia,Diplomatic Meeting,Moscow,Led to discussions on postUnknownwar reorganization and laid the groundwork for the United Nations.,Allied nations,"Churchill, Roosevelt, Stalin",Positive,55.7505412,37.6174782
239,Yalta Conference,4,February,1945.0,Russia,International Conference,"Yalta, Crimea","Agreements on the postUnknownwar reorganization of Europe and Germany, setting the stage for the Cold War.",Allied powers,"Churchill, Roosevelt, Stalin",Mixed,44.451354050000006,34.12929660095275
240,Death of Joseph Stalin,5,March,1953.0,Russia,Political,Moscow,Marked the end of Stalin's rule and the beginning of the deUnknownStalinization process under his successors.,Soviet citizens,Unknown,Mixed,55.7505412,37.6174782
241,Launch of Sputnik 1,4,October,1957.0,Russia,Space Exploration,Baikonur Cosmodrome,Initiated the space age and the space race between the USSR and the United States.,Global population,Soviet space program,Positive,,
242,Cuban Missile Crisis,16,October,1962.0,Russia,International Crisis,Cuba,A 13Unknownday confrontation between the United States and the Soviet Union over Soviet ballistic missiles in Cuba.,Global population,"Nikita Khrushchev, John F. Kennedy",Negative,54.9931068,73.3614679
243,Khrushchev's Secret Speech,25,February,1956.0,Russia,Political,Moscow,"Denounced the crimes of Joseph Stalin, marking the beginning of the deUnknownStalinization.","Soviet citizens, Communist Party members",Nikita Khrushchev,Positive,55.7505412,37.6174782
245,SovietUnknownAfghan War,24,December,1979.0,Russia,Military Conflict,Afghanistan,A costly and ultimately unsuccessful attempt by the Soviet Union to prop up a communist government.,Afghan and Soviet citizens,Leonid Brezhnev,Negative,55.75663155,37.58919992106632
247,Chernobyl Nuclear Disaster,26,April,1986.0,Russia,Nuclear Accident,"Chernobyl, Ukraine","The worst nuclear disaster in history, leading to significant health and environmental consequences.",Global population,Unknown,Negative,,
248,Fall of the Berlin Wall,9,November,1989.0,Russia,Political,"Berlin, Germany",Symbolized the end of the Cold War and the beginning of German reunification.,East and West Germans,Unknown,Positive,,
251,Constitutional Crisis in Russia,21,September,1993.0,Russia,Political Crisis,Moscow,A political standUnknownoff between the Russian president and the parliament culminated in military conflict.,Russian citizens,"Boris Yeltsin, Russian parliament",Negative,55.7505412,37.6174782
255,Moscow Theater Hostage Crisis,23,October,2002.0,Russia,Terrorism,Moscow,"A deadly siege carried out by Chechen terrorists, ending with numerous casualties.","Hostages, terrorists","Chechen terrorists, Russian security forces",Negative,55.7505412,37.6174782
256,Beslan School Siege,1,September,2004.0,Russia,Terrorism,Beslan,"A terrorist attack resulting in over 330 deaths, including many children.",Beslan residents,"Chechen terrorists, Russian security forces",Negative,43.1875572,44.5375689
257,Russia's Annexation of Crimea,18,March,2014.0,Russia,Political/Territorial Change,Crimea,Led to international sanctions against Russia and significant geopolitical tensions.,"Ukrainians, Russians","Vladimir Putin, Russian government",Negative,45.28350435,34.20081877526554
258,Intervention in the Syrian Civil War,30,September,2015.0,Russia,Military Intervention,Syria,"Russia's military intervention on behalf of the Syrian government, affecting the course of the war.",Syrian population,"Vladimir Putin, Russian military",Mixed,33.5209356,36.2746979
259,Skripal Poisoning Incident,4,March,2018.0,Russia,International Incident,"Salisbury, UK","Led to a diplomatic crisis between Russia and Western countries, with accusations of Russian involvement.","Skripal family, UK citizens",Russian government (alleged),Negative,,
260,Asuka Period Begins,Unknown,Unknown,538.0,Japan,Cultural/Political,Asuka,"Marked the introduction of Buddhism to Japan, influencing its culture and religion significantly.",Japanese society,"Soga no Umako, Prince Shotoku",Positive,34.4711417,135.8215426
262,Nara Period Begins,Unknown,Unknown,710.0,Japan,Cultural,Nara,"Establishment of the first permanent capital in Nara, leading to a flourishing of Japanese culture and arts.",Japanese society,Empress Genmei,Positive,34.2963089,135.8816819
263,Heian Period Begins,Unknown,Unknown,794.0,Japan,Cultural,Kyoto,"Marked the start of a golden age of art, culture, and literature in Japan.",Japanese society,Emperor Kanmu,Positive,35.021041,135.7556075
264,The Tale of Genji by Murasaki Shikibu,Unknown,Unknown,1030.0,Japan,Literature,Kyoto,"Often considered the world's first novel, showcasing the sophistication of HeianUnknownera culture and society.","Japanese literature, global readership",Murasaki Shikibu,Positive,35.021041,135.7556075
265,Kamakura Shogunate Established,Unknown,Unknown,1185.0,Japan,Military/Political,Kamakura,"The establishment of the first shogunate in Japan, marking the beginning of feudalism and samurai dominance.",Japanese society,Minamoto no Yoritomo,Mixed,35.329564,139.54442
266,Mongol Invasions of Japan,Unknown,Unknown,1274.0,Japan,Military,Kyushu,"Failed attempts by the Mongol Empire to invade Japan, reinforcing the samurai's status and affecting Japanese medieval identity.",Japanese defenders,"Kublai Khan, Samurai defenders",Positive,32.48214205,131.10089656440624
267,Muromachi Period Begins,Unknown,Unknown,1336.0,Japan,Cultural/Political,"Muromachi, Kyoto","A period marked by civil wars and the establishment of the Ashikaga shogunate, leading to cultural developments like the tea ceremony and Noh theater.",Japanese society,Ashikaga Takauji,Mixed,34.983063,135.757541
268,Onin War,Unknown,Unknown,1467.0,Japan,Civil War,Kyoto,A conflict that led to the collapse of the Ashikaga shogunate's authority and the start of the Sengoku period.,Japanese society,Various daimyōs,Negative,35.021041,135.7556075
269,Introduction of Firearms by Portuguese,Unknown,Unknown,1543.0,Japan,Military/Technology,Tanegashima,Transformed warfare in Japan and led to significant changes in military tactics during the Sengoku period.,"Japanese warlords, samurai",Portuguese traders,Mixed,30.591848,130.99589484044418
270,AzuchiUnknownMomoyama Period Begins,Unknown,Unknown,1568.0,Japan,Cultural/Political,Azuchi,"Characterized by the unification of Japan under Oda Nobunaga and later Toyotomi Hideyoshi, leading to the establishment of a centralized government.",Japanese society,"Oda Nobunaga, Toyotomi Hideyoshi",Positive,35.1424973,136.1336983
271,Tokugawa Shogunate Established,Unknown,Unknown,1603.0,Japan,Political,Tokyo,"The establishment of the Tokugawa shogunate marked the beginning of over 250 years of peace and stability, known as the Edo period.",Japanese society,Tokugawa Ieyasu,Positive,35.6821936,139.762221
279,Atomic Bombings of Hiroshima and Nagasaki,6 and 9,August,1945.0,Japan,Military/Atomic Warfare,"Hiroshima, Nagasaki","Led to Japan's surrender in WWII, marking the first and only use of nuclear weapons in warfare.",Japanese civilians,United States,Negative,,
280,Perry Expedition and Opening of Japan,8,July,1853.0,Japan,International Relations,Edo Bay (Tokyo Bay),"Forced Japan to end its isolationist policy, leading to the Treaty of Kanagawa and opening Japan to the West.",Japanese society,Commodore Matthew Perry,Mixed,,
283,Satsuma Rebellion,Unknown,Unknown,1877.0,Japan,Military Rebellion,Kyushu,"A revolt of disaffected samurai against the new imperial government, marking the end of samurai rebellion.","Japanese government, samurai",Saigō Takamori,Negative,32.48214205,131.10089656440624
286,Washington Naval Conference,Unknown,Unknown,1922.0,Japan,International Relations,Washington D.C.,Led to naval disarmament and attempted to prevent naval arms race among the major powers.,International community,"USA, UK, Japan, France, Italy",Positive,38.91502835,-77.05595631789902
288,Marco Polo Bridge Incident,7,July,1937.0,Japan,Military Conflict,Beijing,"The start of the fullUnknownscale Second SinoUnknownJapanese War, escalating conflict in East Asia.",Chinese and Japanese populations,"Imperial Japanese Army, Chinese forces",Negative,35.6235902,140.1033785
289,Japan's Surrender in World War II,2,September,1945.0,Japan,End of WWII,Tokyo Bay,Marked the end of World War II and the beginning of Japan's postUnknownwar reconstruction and pacifism era.,Japanese population,"Emperor Hirohito, Allied Powers",Negative,35.470011650000004,139.84770242173232
290,San Francisco Peace Treaty Signed,8,September,1951.0,Japan,International Treaty,San Francisco,"Officially ended the state of war between Japan and the Allied Powers, restoring Japan's sovereignty.",Japanese population,Shigeru Yoshida (Prime Minister),Positive,37.78514655,-122.43047512968477
291,Japan Joins the United Nations,18,December,1956.0,Japan,International Relations,New York,Marked Japan's return to the international community and its commitment to global peace and cooperation.,Global community,Japanese government,Positive,31.5579725,130.50339313329448
293,Tokyo Olympics,10,October,1964.0,Japan,International Sports Event,Tokyo,"Showcased Japan's recovery and modernization to the world, fostering national pride and international goodwill.",Global audience,Japanese government,Positive,35.6821936,139.762221
294,Osaka Expo '70,15,March,1970.0,Japan,World's Fair,Osaka,Symbolized Japan's cultural and technological advancements on the world stage.,International visitors,Japanese government,Positive,34.7021912,135.4955866
296,JapanUnknownChina Joint Communiqué,29,September,1972.0,Japan,Diplomatic Agreement,Beijing,"Normalized diplomatic relations between Japan and China, ending the postUnknownwar state of hostility.",Japanese and Chinese populations,Kakuei Tanaka (Prime Minister),Positive,35.6235902,140.1033785
299,Great Hanshin Earthquake,17,January,1995.0,Japan,Natural Disaster,Kobe,"One of the deadliest earthquakes in Japan's history, leading to significant loss of life and damage.",Residents of affected area,Unknown,Negative,34.6932379,135.1943764
300,Aum Shinrikyo Tokyo Subway Sarin Attack,20,March,1995.0,Japan,Terrorism,Tokyo,"A deadly terrorist attack by a doomsday cult, shaking public security and trust in authorities.","Commuters, general public",Aum Shinrikyo cult,Negative,35.6821936,139.762221
303,Kyoto Protocol on Climate Change,11,December,1997.0,Japan,International Agreement,Kyoto,"An international treaty committing its parties to reduce greenhouse gas emissions, based on the premise of global warming.",Global community,International participants,Positive,35.021041,135.7556075
305,Fukushima Daiichi Nuclear Disaster,11,March,2011.0,Japan,Nuclear Accident,Fukushima,"Triggered by a massive earthquake and tsunami, it was one of the worst nuclear disasters in history.","Residents of affected area, global community","TEPCO, Japanese government",Negative,37.75454,140.4592144
306,JapanUnknownKorea Comfort Women Agreement,28,December,2015.0,Japan,Diplomatic Agreement,Seoul,"Aimed to resolve the longUnknownstanding issue of ""comfort women"" during WWII, though met with criticism and controversy.","Victims, South Korean and Japanese populations","Shinzo Abe (Prime Minister), Park GeunUnknownhye",Mixed,37.5754797,126.9799186
307,Emperor Akihito's Abdication,30,April,2019.0,Japan,Historical,Tokyo,"Marked the first abdication of a Japanese emperor in over two centuries, leading to the Reiwa era.",Japanese population,Emperor Akihito,Positive,35.6821936,139.762221
308,2020 Tokyo Olympics Postponement,24,March,2020.0,Japan,International Sports Event,Tokyo,The Olympics were postponed for the first time in history due to the COVIDUnknown19 pandemic.,"Global audience, athletes","International Olympic Committee, Japanese government",Mixed,35.6821936,139.762221
310,Arrival of the First Fleet,26,January,1788.0,Australia,Colonial Settlement,Sydney,"Marked the beginning of British colonization in Australia, leading to the establishment of New South Wales.","Indigenous Australians, British convicts",Captain Arthur Phillip,Mixed,-33.8698439,151.2082848
311,Establishment of the Colony of Van Diemen's Land,Unknown,Unknown,1803.0,Australia,Colonial Expansion,Tasmania,"Expanded British territorial claims in Australia, significantly impacting the indigenous population.","Tasmanian Aboriginal people, British settlers",British Colonial Administration,Negative,-42.035067,146.6366887
313,Eureka Stockade,3,December,1854.0,Australia,Rebellion,"Ballarat, Victoria","A miners' rebellion against colonial authorities, considered a pivotal event in the development of democracy in Australia.","Miners, colonial authorities",Peter Lalor,Positive,-37.5623013,143.8605645
315,ANZAC troops land at Gallipoli,25,April,1915.0,Australia,Military,"Gallipoli, Turkey",Marked the first major military action fought by Australian and New Zealand forces during WWI.,ANZAC soldiers,Unknown,Negative,,
316,The Great Strike of 1917,Unknown,Unknown,1917.0,Australia,Labor Movement,Sydney,"One of Australia's largest industrial disputes, affecting the country's economy and labor laws.","Workers, employers",Union leaders,Mixed,-33.8698439,151.2082848
319,Sydney Harbour Bridge Opens,19,March,1932.0,Australia,Infrastructure,Sydney,Became a national symbol of Australia and a critical transportation link within Sydney.,Sydney residents,John Bradfield,Positive,-33.8698439,151.2082848
321,Darwin Bombing by Japanese Forces,19,February,1942.0,Australia,Military,"Darwin, Northern Territory","The largest single attack ever mounted by a foreign power on Australia, bringing the realities of WWII to Australian shores.",Residents of Darwin,Imperial Japanese Navy,Negative,-12.46044,130.8410469
322,Kokoda Trail Campaign,Unknown,Unknown,1942.0,Australia,Military,Papua New Guinea,"A series of battles fought in the New Guinea campaign of WWII, showcasing the bravery of Australian troops.","Australian soldiers, Papua New Guineans",Australian Army,Positive,-9.4728904,147.1526687
324,Myall Creek Massacre,10,June,1838.0,Australia,Massacre,"Myall Creek, New South Wales",One of the most infamous incidents of violence against Indigenous Australians during the frontier wars.,Wirrayaraay people,European settlers,Negative,-29.7754806,150.7126738
325,The Founding of Melbourne,30,August,1835.0,Australia,Settlement,"Melbourne, Victoria","Establishment of Melbourne, which would grow to become one of Australia's largest and most influential cities.","Indigenous Australians, settlers","John Batman, settlers",Mixed,-37.8142454,144.9631732
326,The Shearers' Strike,Unknown,Unknown,1891.0,Australia,Labor Movement,Queensland,"A significant early labor dispute, highlighting the division between workers and employers in rural Australia.","Shearers, pastoralists","Union leaders, Queensland Government",Mixed,-22.1646782,144.5844903
329,Black Friday Bushfires,13,January,1939.0,Australia,Natural Disaster,Victoria,"One of Australia's worst natural disasters, leading to significant loss of life and property.",Residents of Victoria,Unknown,Negative,-36.5986096,144.6780052
330,Signing of the ANZUS Treaty,1,September,1951.0,Australia,International Relations,San Francisco,"Established a security alliance between Australia, New Zealand, and the United States, strengthening ties with the US.",Australian citizens,Robert Menzies (Prime Minister),Positive,-34.7009986,-58.6414843
331,Mabo v Queensland Decision,3,June,1992.0,Australia,Legal Land Rights,High Court of Australia,"Recognized Native Title in Australia, overturning the doctrine of terra nullius and acknowledging Indigenous land rights.",Indigenous Australians,"Eddie Mabo, High Court of Australia",Positive,-35.299020350000006,149.13572485162183
333,Sydney Opera House Opens,20,October,1973.0,Australia,Cultural Infrastructure,Sydney,"Became an iconic symbol of Australia and a major cultural venue, enhancing the country's global cultural stature.",International and local visitors,"Queen Elizabeth II, Jørn Utzon",Positive,-33.8698439,151.2082848
336,Whitlam Government's Dismissal,11,November,1975.0,Australia,Political Crisis,Canberra,A constitutional crisis that led to the dismissal of the Whitlam government by the GovernorUnknownGeneral.,Australian citizens,"Gough Whitlam, Sir John Kerr",Negative,-35.2975906,149.1012676
337,Port Arthur Massacre,28,April,1996.0,Australia,Gun Violence,"Port Arthur, Tasmania",Led to significant reforms in Australia's gun laws with the National Firearms Agreement.,Australian citizens,John Howard (Prime Minister),Positive,-43.1435301,147.8440404
339,Apology to Australia's Indigenous Peoples,13,February,2008.0,Australia,Political,Canberra,"The Australian government formally apologised to the Indigenous Australians for past injustices, particularly the Stolen Generations.",Indigenous Australians,Kevin Rudd (Prime Minister),Positive,-35.2975906,149.1012676
341,ANZUS Treaty Signing,1,September,1951.0,Australia,International Relations,San Francisco,"Established a security alliance between Australia, New Zealand, and the United States.",Australian citizens,Robert Menzies,Positive,-34.7009986,-58.6414843
343,Aboriginal Land Rights Act,Unknown,Unknown,1976.0,Australia,Legal/Political,Northern Territory,"A landmark in Indigenous rights, allowing Aboriginal Australians to claim land rights in the Northern Territory.",Indigenous Australians,Australian Government,Positive,-19.8516101,133.2303375
344,Sydney Opera House Opens,20,October,1973.0,Australia,Cultural Infrastructure,Sydney,"Became a national icon and a major cultural hub, symbolizing Australia's architectural and artistic prowess.",Global and local visitors,Jørn Utzon,Positive,-33.8698439,151.2082848
345,Whitlam Government Dismissal,11,November,1975.0,Australia,Political Crisis,Canberra,"A constitutional crisis that led to the dismissal of the Whitlam government, highlighting the power of the GovernorUnknownGeneral.",Australian citizens,"Gough Whitlam, Sir John Kerr",Negative,-35.2975906,149.1012676
348,Port Arthur Massacre,28,April,1996.0,Australia,Gun Violence,"Port Arthur, Tasmania",Led to significant reforms in Australia's gun laws with the National Firearms Agreement.,Australian citizens,John Howard,Positive,-43.1435301,147.8440404
349,Sydney 2000 Summer Olympics,15,September,2000.0,Australia,International Sports Event,Sydney,"Showcased Australia's cultural diversity and hospitality, enhancing its global image.",Global audience,Australian Government,Positive,-33.8698439,151.2082848
350,Apology to the Stolen Generations,13,February,2008.0,Australia,Political,Canberra,The government formally apologized for the forced removal of Indigenous children from their families.,Indigenous Australians,Kevin Rudd,Positive,-35.2975906,149.1012676
353,"""Tampa"" Refugee Crisis",Unknown,August,2001.0,Australia,Humanitarian/Political,Indian Ocean,Sparked national and international debate on Australia's asylum seeker policies.,Asylum seekers,John Howard,Negative,-30.3055236,115.0381436
354,Black Saturday Bushfires,7,February,2009.0,Australia,Natural Disaster,Victoria,"One of the deadliest bushfires in Australian history, leading to significant loss of life and property.",Residents of Victoria,State Government of Victoria,Negative,-36.5986096,144.6780052
358,Signing of the Treaty of Waitangi,6,February,1840.0,New Zealand,Foundational Document,Waitangi,"Established a British Governor in New Zealand, granting the Crown the right to buy land from Māori and offering Māori the rights of British subjects.","Māori, European settlers","William Hobson, Māori chiefs",Mixed,-35.2704653,174.0804593
359,New Zealand Wars,Unknown,Unknown,1845.0,New Zealand,Military Conflict,Various locations,"A series of conflicts primarily between Colonial government forces and various Māori iwi, affecting sovereignty and land ownership.","Māori, European settlers","Various Māori iwi, British military",Negative,,
361,Introduction of the New Zealand Constitution Act,Unknown,Unknown,1852.0,New Zealand,Political Framework,Unknown,"Granted selfUnknowngovernment to New Zealand, allowing for the establishment of a central government and provincial governments.",New Zealanders,British Parliament,Positive,-43.3328881,170.5867749
362,Women's Suffrage Achieved,19,September,1893.0,New Zealand,Social Reform,Unknown,Made New Zealand the first selfUnknowngoverning country in the world to grant all women the right to vote in parliamentary elections.,Women in New Zealand,"Kate Sheppard, Suffragette movement",Positive,-43.3328881,170.5867749
363,Creation of the Welfare State,Unknown,Unknown,1938.0,New Zealand,Social Policy,Unknown,"Introduction of social security and welfare policies, providing support for the elderly, unemployed, and sick.",New Zealanders,"Michael Joseph Savage, Labour Government",Positive,-43.3328881,170.5867749
364,Māori Seats Established in Parliament,Unknown,Unknown,1867.0,New Zealand,Political Inclusion,Unknown,"Established separate electoral representation for Māori, recognising Māori as a distinct political group.",Māori,New Zealand Government,Positive,-43.3328881,170.5867749
365,Mount Tarawera Eruption,10,June,1886.0,New Zealand,Natural Disaster,Mount Tarawera,"The deadliest volcanic eruption in New Zealand's history, causing significant loss of life and destruction.",Residents near Tarawera,Unknown,Negative,-38.2246458,176.5115878
366,Refrigerated Shipping Invented,Unknown,Unknown,1882.0,New Zealand,Economic Innovation,Unknown,"Enabled the export of meat and dairy products to Britain, revolutionizing New Zealand's economy.",New Zealand economy,"William Davidson, Thomas Brydone",Positive,-43.3328881,170.5867749
367,Anzac Forces Land at Gallipoli,25,April,1915.0,New Zealand,Military Campaign,"Gallipoli, Turkey","Marked New Zealand's significant involvement in World War I, impacting national identity and commemorations.",ANZAC soldiers,Unknown,Negative,,
368,Labour Party Elected for the First Time,Unknown,Unknown,1935.0,New Zealand,Political Change,Unknown,"Brought the Labour Party to power, leading to significant social and economic reforms, including the creation of a welfare state.",New Zealanders,Michael Joseph Savage,Positive,-43.3328881,170.5867749
369,Ratana Movement Political Involvement,Unknown,Unknown,1920.0,New Zealand,Political/Religious Movement,Unknown,The movement's alignment with the Labour Party influenced Māori political engagement and policy development.,Māori,T.W. Ratana,Positive,-43.3328881,170.5867749
370,Social Security Act Passed,Unknown,Unknown,1938.0,New Zealand,Social Welfare,Unknown,"Established a comprehensive welfare system, providing support for the elderly, unemployed, and sick.",New Zealanders,Labour Government,Positive,-43.3328881,170.5867749
372,National Party Founded,Unknown,Unknown,1936.0,New Zealand,Political Party Formation,Unknown,"The founding of the National Party, becoming a major political force and alternative to the Labour Party.",New Zealanders,Adam Hamilton,Positive,-43.3328881,170.5867749
373,State Housing Introduced,Unknown,Unknown,1937.0,New Zealand,Housing Policy,Unknown,"Initiated a government program to provide quality public housing, improving living standards for many.",LowUnknownincome families,Labour Government,Positive,-43.3328881,170.5867749
374,Waitangi Day Established,Unknown,Unknown,1934.0,New Zealand,National Commemoration,Waitangi,"Commemorated the signing of the Treaty of Waitangi, though it didn't become a public holiday until later.",New Zealanders,New Zealand Government,Positive,-35.2704653,174.0804593
375,1st Labour Government Elected,Unknown,Unknown,1935.0,New Zealand,Election,Unknown,"The Labour Party's election led to significant social and economic reforms, including the establishment of a welfare state.",New Zealanders,Michael Joseph Savage,Positive,-43.3328881,170.5867749
376,Compulsory Military Training Introduced,Unknown,Unknown,1949.0,New Zealand,Defense Policy,Unknown,"Aimed to prepare the population for potential military conflicts, reflecting the global tensions of the time.",Young male citizens,New Zealand Government,Mixed,-43.3328881,170.5867749
377,Construction of Auckland Harbour Bridge,Unknown,Unknown,1950.0,New Zealand,Infrastructure Development,Auckland,"Improved transportation between Auckland city and the North Shore, contributing to the city's expansion.",Auckland residents,New Zealand Government,Positive,-36.852095,174.7631803
386,2011 Christchurch Earthquake,22,February,2011.0,New Zealand,Natural Disaster,Christchurch,"A devastating earthquake that caused significant loss of life and damage, impacting the nation's resilience and urban planning.","Christchurch residents, New Zealanders",Unknown,Negative,-43.530955,172.6364343
390,Auckland Harbour Bridge Protests,Unknown,Unknown,1975.0,New Zealand,Civil Rights,Auckland,Highlighted land rights issues and led to significant Māori activism against government policies on land and sovereignty.,"Māori, activists",Māori Activists,Positive,-36.852095,174.7631803
392,New Zealand Signs Kyoto Protocol,Unknown,Unknown,1998.0,New Zealand,International Agreement,Kyoto,"Committed New Zealand to reducing greenhouse gas emissions, aligning with global efforts to combat climate change.",New Zealanders,New Zealand Government,Positive,-36.8825663,174.7325862
398,Establishment of Goryeo Dynasty,Unknown,Unknown,918.0,Korea,Dynastic Founding,Korean Peninsula,"Unified the Later Three Kingdoms, laying the groundwork for a unified Korean identity and culture.",Korean people,King Taejo,Positive,36.99057185,128.11951098940523
399,Mongol Invasions of Korea,Unknown,Unknown,1231.0,Korea,Military Invasion,Korean Peninsula,"Led to Goryeo becoming a semiUnknownautonomous vassal state of the Mongol Empire, impacting Korean sovereignty.",Korean people,Mongol Empire,Negative,36.99057185,128.11951098940523
400,Establishment of Joseon Dynasty,Unknown,Unknown,1392.0,Korea,Dynastic Founding,Korean Peninsula,"Marked the beginning of a dynasty that would last for five centuries, emphasizing Confucianism and centralizing royal power.",Korean people,King Taejo of Joseon,Positive,36.99057185,128.11951098940523
401,Japanese Invasions of Korea (Imjin War),Unknown,Unknown,1592.0,Korea,Military Conflict,Korean Peninsula,"A devastating conflict that led to significant loss of life and cultural treasures, but also showcased Korean resilience.",Korean people,"Toyotomi Hideyoshi, Admiral Yi SunUnknownsin",Mixed,36.99057185,128.11951098940523
402,Manchu Invasions of Korea,Unknown,Unknown,1627.0,Korea,Military Invasion,Korean Peninsula,"Forced Korea into becoming a tributary state of the Qing Dynasty, impacting Korean foreign relations.",Korean people,Qing Dynasty,Negative,36.99057185,128.11951098940523
403,The Gabo Reform,Unknown,Unknown,1894.0,Korea,Political/Social Reform,Korean Peninsula,"A series of reforms aimed at modernizing Korea's government and social structures, influenced by foreign powers.",Korean people,King Gojong,Mixed,36.99057185,128.11951098940523
404,Assassination of Empress Myeongseong,8,October,1895.0,Korea,Political Assassination,"Gyeongbokgung Palace, Seoul",The JapaneseUnknownorchestrated assassination heightened Korean resentment towards Japan and destabilized the court.,"Korean royal family, citizens",Japanese agents,Negative,37.57975395,126.9766806988686
405,Korean Empire Proclaimed,12,October,1897.0,Korea,Political Change,Korean Peninsula,"King Gojong declared the Korean Empire, asserting independence amidst increasing foreign intervention.",Korean people,Emperor Gojong,Positive,36.99057185,128.11951098940523
407,JapanUnknownKorea Annexation Treaty,22,August,1910.0,Korea,Annexation,Korean Peninsula,"Officially annexed Korea to Japan, ending the Korean Empire and beginning a period of Japanese colonial rule.",Korean people,Imperial Japan,Negative,36.99057185,128.11951098940523
408,March 1st Movement,1,March,1919.0,Korea,Independence Movement,Korean Peninsula,"A nationwide peaceful protest against Japanese colonial rule, pivotal in the Korean independence movement.",Korean people,Korean activists,Mixed,36.99057185,128.11951098940523
409,Establishment of the Provisional Government,11,April,1919.0,Korea,Exile Government Formation,Shanghai,"Formed by Korean exiles, it acted as the de facto Korean governmentUnknowninUnknownexile opposing Japanese rule.",Korean people,Korean independence activists,Positive,35.688467,127.9148636
410,Korean Liberation,15,August,1945.0,Korea,End of Colonial Rule,Korean Peninsula,Marked the end of Japanese colonial rule in Korea following Japan's surrender in WWII.,Korean people,Allied Powers,Positive,36.99057185,128.11951098940523
411,Division of Korea,Unknown,Unknown,1945.0,Korea,Geopolitical Division,38th Parallel North,"Korea was divided into North and South along the 38th parallel, laying the groundwork for future conflict.",Korean people,"United States, Soviet Union",Negative,,
412,Establishment of the Republic of Korea,15,August,1948.0,South Korea,State Establishment,Seoul,Official establishment of South Korea as an independent nation following the division.,South Koreans,Syngman Rhee,Positive,37.5666791,126.9782914
413,Establishment of the Democratic People's Republic of Korea,9,September,1948.0,North Korea,State Establishment,Pyongyang,"Official establishment of North Korea as a separate state, consolidating the division of Korea.",North Koreans,Kim IlUnknownsung,Negative,39.0167979,125.7473609
414,Jeju Uprising,Unknown,Unknown,1948.0,South Korea,Social Unrest,Jeju Island,"A violent suppression of a rebellion, leading to significant loss of life and highlighting postUnknownliberation tensions.",Jeju Island residents,South Korean Government,Negative,33.38034745,126.54825445912049
415,Korean War,25,June,1950.0,Korea,Military Conflict,Korean Peninsula,"An armed conflict between North and South Korea, with significant international involvement, further solidifying the division.","Korean people, international forces","North Korea, South Korea, UN, China, US",Negative,36.99057185,128.11951098940523
418,Korean War,25,June,1950.0,North Korea,Military Conflict,Korean Peninsula,"Initiated the Korean War with the invasion of South Korea, leading to a prolonged conflict and division.",Korean people,Kim IlUnknownsung,Mixed,,
419,Armistice Agreement,27,July,1953.0,North Korea,Ceasefire,Panmunjom,"Ended active hostilities in the Korean War without a formal peace treaty, creating the DMZ.",Korean people,Korean War belligerents,Positive,37.9440253,126.6526477
420,Establishment of the Juche Ideology,Unknown,Unknown,1955.0,North Korea,Political Ideology,Pyongyang,"Formalized Kim IlUnknownsung’s Juche ideology, emphasizing selfUnknownreliance and independence in all state matters.",North Korean citizens,Kim IlUnknownsung,Mixed,39.0167979,125.7473609
421,Pueblo Incident,23,January,1968.0,North Korea,Military/Political Incident,Sea of Japan,"The capture of the USS Pueblo, escalating tensions with the United States.","US Navy crew, North Koreans",Kim IlUnknownsung,Negative,,
422,Kim IlUnknownsung’s Death,8,July,1994.0,North Korea,Political,Pyongyang,Marked the end of Kim IlUnknownsung’s era and the beginning of Kim JongUnknownil’s leadership.,North Korean citizens,Unknown,Negative,39.0167979,125.7473609
423,North Korea's First Nuclear Test,9,October,2006.0,North Korea,Nuclear Test,Kilju County,"North Korea's first successful nuclear test, significantly impacting international relations and security dynamics.",International community,Kim JongUnknownil,Negative,41.05264695,129.19279796676676
424,April Revolution,19,April,1960.0,South Korea,Political Uprising,Seoul,Led to the resignation of President Syngman Rhee and the establishment of a more democratic government structure.,South Korean citizens,"Student protesters, general public",Positive,37.5666791,126.9782914
425,May 16 Coup,16,May,1961.0,South Korea,Military Coup,Seoul,"Military coup led by Park ChungUnknownhee, resulting in economic development but also authoritarian rule.",South Korean citizens,Park ChungUnknownhee,Positive,37.5666791,126.9782914
426,Gwangju Uprising,18,May,1980.0,South Korea,Democratic Uprising,Gwangju,"A mass uprising against the military government, leading to civilian massacres and a call for democratic reforms.",Gwangju residents,"Chun DooUnknownhwan, democratic activists",Positive,35.1594647,126.8515034
427,Seoul Olympics,17,September,1988.0,South Korea,International Sports Event,Seoul,Showcased South Korea's emergence on the world stage and contributed to its global cultural and economic presence.,International audience,Roh TaeUnknownwoo,Positive,37.5666791,126.9782914
