Sl. No,Name of Incident,Date,Month,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Outcome,Broad Category,Continent,Other,Military and Conflict,Political Events,Technological and Scientific Advancements,Crisis and Emergency Response,Economic and Infrastructure Development,Social and Cultural Events,Environmental and Health,Legal and Judicial Changes,International Relations and Diplomacy,Historical and Monumental,Social and Civil Rights
237,Battle of Stalingrad,17,July,1942,Russia,Military Battle,Stalingrad (now Volgograd),"A turning point in WWII on the Eastern Front, resulting in significant German losses.",Soviet and German military,"Soviet Union, Nazi Germany",Positive,Military and Conflict,Europe,0.038320195,0.25569373,0.09873696,0.079887874,0.15765028,0.05107276,0.075851776,0.13236816,0.0004943111,0.03291899,0.07529243,0.001712516
238,Moscow Conference of Foreign Ministers,19,October,1943,Russia,Diplomatic Meeting,Moscow,Led to discussions on postUnknownwar reorganization and laid the groundwork for the United Nations.,Allied nations,"Churchill, Roosevelt, Stalin",Positive,Political Events,Europe,0.074354306,0.08726715,0.16110356,0.08001636,0.02538184,0.13128948,0.12234234,0.027629439,0.0011428474,0.20421751,0.03652939,0.04872578
239,Yalta Conference,4,February,1945,Russia,International Conference,"Yalta, Crimea","Agreements on the postUnknownwar reorganization of Europe and Germany, setting the stage for the Cold War.",Allied powers,"Churchill, Roosevelt, Stalin",Mixed,Political Events,Europe,0.07253894,0.15623964,0.14308436,0.0799907,0.053459972,0.10091998,0.1349257,0.052729603,0.006873783,0.13276707,0.054006364,0.0124640055
240,Death of Joseph Stalin,5,March,1953,USSR,Political,Moscow,Marked the end of Stalin's rule and the beginning of the deUnknownStalinization process under his successors.,Soviet citizens,Unknown,Mixed,Political Events,Unknown,0.06674024,0.114161715,0.21505667,0.03593504,0.052877203,0.058544807,0.13324194,0.07708112,0.021655431,0.05313521,0.11473263,0.056838
241,Launch of Sputnik 1,4,October,1957,USSR,Space Exploration,Baikonur Cosmodrome,Initiated the space age and the space race between the USSR and the United States.,Global population,Soviet space program,Positive,Technological and Scientific Advancements,Unknown,0.07233254,0.078117706,0.10008119,0.3101704,0.04720321,0.111228116,0.11174273,0.011868992,0.012154461,0.04841447,0.042250756,0.054435454
242,Cuban Missile Crisis,16,October,1962,USSR,International Crisis,Cuba,A 13Unknownday confrontation between the United States and the Soviet Union over Soviet ballistic missiles in Cuba.,Global population,"Nikita Khrushchev, John F. Kennedy",Negative,Political Events,Unknown,0.060294207,0.17069001,0.10508813,0.14238316,0.13540918,0.06523011,0.08554847,0.072520666,0.0194795,0.095206454,0.048036963,0.00011320809
243,Khrushchev's Secret Speech,25,February,1956,USSR,Political,Moscow,"Denounced the crimes of Joseph Stalin, marking the beginning of the deUnknownStalinization.","Soviet citizens, Communist Party members",Nikita Khrushchev,Positive,Political Events,Unknown,0.06707825,0.08433977,0.20497403,0.056584336,0.14794526,0.016076537,0.095219046,0.07424016,0.049649555,0.07222583,0.10382067,0.027846655
244,The Prague Spring and its Suppression,20,August,1968,USSR,Military Intervention,Czechoslovakia,A period of political liberalization in Czechoslovakia crushed by Soviet military intervention.,Czechoslovak citizens,Leonid Brezhnev,Negative,Political Events,Unknown,0.10613467,0.2017924,0.20689115,0.029313102,0.059087936,0.06838969,0.15182704,0.040984016,0.032437343,0.029206116,0.066367,0.00756953
245,SovietUnknownAfghan War,24,December,1979,USSR,Military Conflict,Afghanistan,A costly and ultimately unsuccessful attempt by the Soviet Union to prop up a communist government.,Afghan and Soviet citizens,Leonid Brezhnev,Negative,Military and Conflict,Unknown,0.095422156,0.18448748,0.19227879,0.04689007,0.073056184,0.09020628,0.11468985,0.07651827,0.019327976,0.03462113,0.065214045,0.007287818
246,Perestroika and Glasnost Reforms,Unknown,Unknown,1975,USSR,Political/Economic Reform,Soviet Union,Mikhail Gorbachev's policies of reforming the political system and increasing transparency.,Soviet citizens,Mikhail Gorbachev,Positive,Political Events,Unknown,0.10155496,0.081734896,0.21842366,0.016798107,0.017237019,0.14876677,0.13876544,0.054270115,0.040748313,0.054822713,0.104784735,0.022093318
247,Chernobyl Nuclear Disaster,26,April,1986,USSR,Nuclear Accident,"Chernobyl, Ukraine","The worst nuclear disaster in history, leading to significant health and environmental consequences.",Global population,Unknown,Negative,Political Events,Unknown,0.028756656,0.039753783,0.03249432,0.13603014,0.21426128,0.07524788,0.02858018,0.4128349,0.00036411444,0.013847801,0.016829198,0.000999745
248,Fall of the Berlin Wall,9,November,1989,USSR,Political,"Berlin, Germany",Symbolized the end of the Cold War and the beginning of German reunification.,East and West Germans,Unknown,Positive,Political Events,Unknown,0.05700728,0.15720624,0.13172449,0.0619003,0.10691545,0.06410458,0.17051268,0.084172264,0.013144599,0.061643757,0.074367985,0.017300373
249,Dissolution of the Soviet Union,26,December,1991,USSR,Political,Soviet Union,"Marked the end of the Soviet Union and the emergence of 15 independent republics, including Russia.",Citizens of former USSR,"Mikhail Gorbachev, Boris Yeltsin",Positive,Political Events,Unknown,0.073174246,0.16966355,0.22138053,0.04051357,0.019942926,0.09441952,0.13207255,0.03286939,0.033253085,0.10659438,0.07482388,0.0012923697
250,Boris Yeltsin Elected as First President of Russia,12,June,1991,Russia,Political,Russia,Signified the transition towards democratic governance and market economics in postUnknownSoviet Russia.,Russian citizens,Boris Yeltsin,Positive,Political Events,Europe,0.09670272,0.113073125,0.24302508,0.017666472,0.006205166,0.20449978,0.14595693,0.024573218,0.012540944,0.033201184,0.060153086,0.042402286
251,Constitutional Crisis in Russia,21,September,1993,Russia,Political Crisis,Moscow,A political standUnknownoff between the Russian president and the parliament culminated in military conflict.,Russian citizens,"Boris Yeltsin, Russian parliament",Negative,Political Events,Europe,0.09270881,0.16296417,0.20037681,0.05156822,0.07281035,0.08925827,0.12277136,0.03564161,0.05767183,0.052178983,0.050340537,0.011709013
253,Financial Crisis in Russia,17,August,1998,Russia,Economic Crisis,Russia,"Led to the Russian government defaulting on its debt, causing significant economic turmoil.",Russian citizens,Russian government,Negative,Economic and Infrastructure Development,Europe,0.05910204,0.13086435,0.18630256,0.025640706,0.05986692,0.27293274,0.0854724,0.08406475,0.0046762084,0.022475787,0.028389795,0.04021177
254,Putin's First Presidential Term,7,May,2000,Russia,Political,Russia,"Marked the beginning of Vladimir Putin's long tenure in power, significantly impacting Russian politics.",Russian citizens,Vladimir Putin,Mixed,Political Events,Europe,0.08857098,0.10279349,0.19944638,0.053727716,0.013346468,0.15311313,0.14770286,0.017424429,0.008015272,0.054403007,0.071943745,0.08951266
255,Moscow Theater Hostage Crisis,23,October,2002,Russia,Terrorism,Moscow,"A deadly siege carried out by Chechen terrorists, ending with numerous casualties.","Hostages, terrorists","Chechen terrorists, Russian security forces",Negative,Crisis and Emergency Response,Europe,0.046674307,0.11752202,0.07961938,0.047180314,0.41136622,0.018743142,0.07963872,0.10915245,0.004282856,0.016908716,0.06153737,0.0073744906
256,Beslan School Siege,1,September,2004,Russia,Terrorism,"Beslan, North Ossetia","A terrorist attack resulting in over 330 deaths, including many children.",Beslan residents,"Chechen terrorists, Russian security forces",Negative,Crisis and Emergency Response,Europe,0.06526292,0.08710259,0.07467809,0.08195392,0.42756706,0.012215949,0.06613323,0.1359059,0.03115003,0.0008731088,0.016751224,0.00040591278
257,Russia's Annexation of Crimea,18,March,2014,Russia,Political/Territorial Change,Crimea,Led to international sanctions against Russia and significant geopolitical tensions.,"Ukrainians, Russians","Vladimir Putin, Russian government",Negative,Political Events,Europe,0.08285813,0.16119535,0.14889963,0.083787516,0.07854421,0.098705105,0.08802576,0.036239788,0.025216786,0.121330276,0.050765987,0.024431365
258,Intervention in the Syrian Civil War,30,September,2015,Russia,Military Intervention,Syria,"Russia's military intervention on behalf of the Syrian government, affecting the course of the war.",Syrian population,"Vladimir Putin, Russian military",Mixed,Political Events,Europe,0.06691797,0.16823334,0.14513801,0.06580082,0.08427305,0.11181129,0.087713316,0.055100773,0.014680598,0.10412493,0.033158965,0.06304691
259,Skripal Poisoning Incident,4,March,2018,Russia,International Incident,"Salisbury, UK","Led to a diplomatic crisis between Russia and Western countries, with accusations of Russian involvement.","Skripal family, UK citizens",Russian government (alleged),Negative,Political Events,Europe,0.08449206,0.10478083,0.08390687,0.13835041,0.22637828,0.0615753,0.0740726,0.07515718,0.015048172,0.06348274,0.06286851,0.009887115
260,Asuka Period Begins,Unknown,Unknown,538,Japan,Cultural/Political,Asuka,"Marked the introduction of Buddhism to Japan, influencing its culture and religion significantly.",Japanese society,"Soga no Umako, Prince Shotoku",Positive,Social and Cultural Events,Asia,0.16696447,0.06818802,0.107108235,0.05590474,0.008776517,0.08602381,0.13346022,0.031305905,0.04124121,0.121097155,0.15902029,0.020909406
261,Taika Reforms,Unknown,Unknown,645,Japan,Political,Japan,A set of doctrines established to reshape Japanese government and society along Chinese Confucian models.,Japanese society,Emperor Kōtoku,Positive,Political Events,Asia,0.1555462,0.061777417,0.15981044,0.02852571,0.014125211,0.11481816,0.10790035,0.025241967,0.06714608,0.10515869,0.15974498,0.00020478397
262,Nara Period Begins,Unknown,Unknown,710,Japan,Cultural,Nara,"Establishment of the first permanent capital in Nara, leading to a flourishing of Japanese culture and arts.",Japanese society,Empress Genmei,Positive,Social and Cultural Events,Asia,0.2148538,0.04661872,0.13078848,0.02533556,0.00012804105,0.09786256,0.13973176,0.019370288,0.028856,0.079119995,0.21708812,0.00024668648
263,Heian Period Begins,Unknown,Unknown,794,Japan,Cultural,HeianUnknownkyō (Kyoto),"Marked the start of a golden age of art, culture, and literature in Japan.",Japanese society,Emperor Kanmu,Positive,Social and Cultural Events,Asia,0.18173538,0.058695436,0.087740235,0.07229645,0.002154417,0.08734611,0.19679168,0.014789063,0.017366735,0.053072996,0.2119545,0.016057033
264,The Tale of Genji by Murasaki Shikibu,Unknown,Unknown,1030,Japan,Literature,HeianUnknownkyō (Kyoto),"Often considered the world's first novel, showcasing the sophistication of HeianUnknownera culture and society.","Japanese literature, global readership",Murasaki Shikibu,Positive,Other,Asia,0.18258008,0.04000643,0.07094179,0.063021205,0.019486919,0.097781576,0.13383795,0.044368017,0.00626508,0.054674283,0.19211715,0.094919525
265,Kamakura Shogunate Established,Unknown,Unknown,1185,Japan,Military/Political,Kamakura,"The establishment of the first shogunate in Japan, marking the beginning of feudalism and samurai dominance.",Japanese society,Minamoto no Yoritomo,Mixed,Other,Asia,0.1972841,0.102976814,0.1506067,0.012223697,0.023719132,0.07621545,0.13089411,0.012076527,0.062064596,0.07184802,0.15609384,0.0039969548
266,Mongol Invasions of Japan,Unknown,Unknown,1274,Japan,Military,Kyushu,"Failed attempts by the Mongol Empire to invade Japan, reinforcing the samurai's status and affecting Japanese medieval identity.",Japanese defenders,"Kublai Khan, Samurai defenders",Positive,Military and Conflict,Asia,0.15642725,0.16883412,0.105824396,0.05997916,0.077071704,0.024936685,0.08491004,0.018141448,0.032333434,0.07766133,0.18687782,0.007002564
267,Muromachi Period Begins,Unknown,Unknown,1336,Japan,Cultural/Political,"Muromachi, Kyoto","A period marked by civil wars and the establishment of the Ashikaga shogunate, leading to cultural developments like the tea ceremony and Noh theater.",Japanese society,Ashikaga Takauji,Mixed,Social and Cultural Events,Asia,0.17778033,0.08692628,0.12896264,0.023980018,0.033255395,0.05279173,0.19736898,0.036643106,0.062764674,0.042356722,0.1571492,2.0920717e-05
268,Onin War,Unknown,Unknown,1467,Japan,Civil War,Kyoto,A conflict that led to the collapse of the Ashikaga shogunate's authority and the start of the Sengoku period.,Japanese society,Various daimyōs,Negative,Military and Conflict,Asia,0.14210905,0.12919463,0.13851342,0.060726434,0.07547485,0.071626596,0.1235624,0.056063093,0.07159231,0.045665268,0.08475641,0.0007154733
269,Introduction of Firearms by Portuguese,Unknown,Unknown,1543,Japan,Military/Technology,Tanegashima,Transformed warfare in Japan and led to significant changes in military tactics during the Sengoku period.,"Japanese warlords, samurai",Portuguese traders,Mixed,Other,Asia,0.14802387,0.1421068,0.09405847,0.10249896,0.08955648,0.06936348,0.08760493,0.043635733,0.030362621,0.088289134,0.08940379,0.015095816
270,AzuchiUnknownMomoyama Period Begins,Unknown,Unknown,1568,Japan,Cultural/Political,Azuchi,"Characterized by the unification of Japan under Oda Nobunaga and later Toyotomi Hideyoshi, leading to the establishment of a centralized government.",Japanese society,"Oda Nobunaga, Toyotomi Hideyoshi",Positive,Social and Cultural Events,Asia,0.13824973,0.093527496,0.18539853,0.03846599,0.015356321,0.10005005,0.11630358,0.02880005,0.03497033,0.10512969,0.1386343,0.0051138354
271,Tokugawa Shogunate Established,Unknown,Unknown,1603,Japan,Political,Edo (Tokyo),"The establishment of the Tokugawa shogunate marked the beginning of over 250 years of peace and stability, known as the Edo period.",Japanese society,Tokugawa Ieyasu,Positive,Political Events,Asia,0.16102912,0.12681322,0.16750108,0.0210056,0.010135137,0.10292287,0.15193717,0.026754105,0.055143856,0.07804677,0.09256499,0.0061459746
272,Sakoku Edict of 1635,Unknown,Unknown,1635,Japan,Foreign Policy,Japan,The isolationist foreign policy of the Tokugawa shogunate that restricted Japan's contact with most foreign countries.,Japanese society,Tokugawa Iemitsu,Mixed,Political Events,Asia,0.16483307,0.12277995,0.121202305,0.036952697,0.08033563,0.059812535,0.082748376,0.03183677,0.083135545,0.11760642,0.096218765,0.0025378857
273,Meiji Restoration,Unknown,Unknown,1868,Japan,Political,Japan,"The restoration of imperial rule under Emperor Meiji, leading to rapid modernization and westernization.",Japanese society,"Emperor Meiji, Meiji oligarchs",Positive,Political Events,Asia,0.15020709,0.092112355,0.15042669,0.020243485,0.005322923,0.10398651,0.13331412,0.03581383,0.03982995,0.087159604,0.17302848,0.008554939
274,SinoUnknownJapanese War,Unknown,Unknown,1894,Japan,Military Conflict,"Korea, China","Established Japan as a formidable military power in East Asia, leading to the acquisition of Taiwan.",Chinese and Japanese Empires,Meiji Government,Positive,Military and Conflict,Asia,0.12583943,0.14065242,0.10609466,0.06605788,0.024376336,0.09052084,0.09057435,0.027456854,0.011354216,0.22590844,0.090814896,0.00034961948
275,RussoUnknownJapanese War,Unknown,Unknown,1904,Japan,Military Conflict,"Manchuria, Korea","A significant victory for Japan, marking the first time an Asian power defeated a European power in modern times.",Russian and Japanese Empires,Meiji Government,Positive,Military and Conflict,Asia,0.12036318,0.16770089,0.12470909,0.07827507,0.055721696,0.08045627,0.11551989,0.051069286,0.01441415,0.10645217,0.07978611,0.005532211
276,Taisho Democracy,Unknown,Unknown,1912,Japan,Political,Japan,A period of democratic political reforms and increased political participation during the Taisho era.,Japanese society,Unknown,Mixed,Political Events,Asia,0.1726847,0.12081444,0.17851299,0.01556633,0.021409445,0.10725126,0.14193293,0.036985375,0.028118934,0.059500005,0.11649054,0.0007330437
277,Japanese Invasion of Manchuria,18,September,1931,Japan,Military Invasion,"Manchuria, China","Marked the beginning of Japan's aggressive expansion in East Asia, leading to the Second SinoUnknownJapanese War.",Chinese and Japanese populations,Imperial Japanese Army,Negative,Military and Conflict,Asia,0.14476413,0.14456306,0.1073364,0.07845212,0.040776078,0.10896914,0.08931033,0.017928347,0.019331994,0.15539278,0.092396334,0.00077923347
278,Second SinoUnknownJapanese War,7,July,1937,Japan,Military Conflict,China,"A major theater of WWII in Asia, resulting in massive casualties and atrocities such as the Nanjing Massacre.",Chinese and Japanese civilians,Imperial Japanese Army,Negative,Military and Conflict,Asia,0.103069335,0.1344581,0.07383701,0.084488876,0.16696702,0.034571253,0.08843134,0.117793985,0.01603204,0.08175338,0.09536186,0.0032358014
279,Atomic Bombings of Hiroshima and Nagasaki,6 and 9,August,1945,Japan,Military/Atomic Warfare,"Hiroshima, Nagasaki","Led to Japan's surrender in WWII, marking the first and only use of nuclear weapons in warfare.",Japanese civilians,United States,Negative,Military and Conflict,Asia,0.07165782,0.15167592,0.08542695,0.13828665,0.20320424,0.011105799,0.044307943,0.0691717,0.016461296,0.15669195,0.051029425,0.0009802888
280,Perry Expedition and Opening of Japan,8,July,1853,Japan,International Relations,Edo Bay (Tokyo Bay),"Forced Japan to end its isolationist policy, leading to the Treaty of Kanagawa and opening Japan to the West.",Japanese society,Commodore Matthew Perry,Mixed,International Relations and Diplomacy,Asia,0.13974974,0.12777548,0.11388582,0.06890814,0.05720239,0.082602434,0.08644294,0.019003699,0.048908662,0.1888656,0.06358721,0.003067864
281,Boshin War,Unknown,Unknown,1868,Japan,Civil War,Japan,A civil war between forces of the Tokugawa Shogunate and those seeking to return political power to the Imperial Court.,Japanese society,"Tokugawa Shogunate, Imperial loyalists",Positive,Military and Conflict,Asia,0.12421793,0.21641982,0.14679207,0.026073333,0.050205488,0.0590746,0.10935591,0.013786998,0.045613796,0.030249467,0.17616798,0.0020425941
282,Iwakura Mission,Unknown,Unknown,1871,Japan,Diplomatic Mission,"USA, Europe",A Japanese diplomatic voyage to the United States and Europe to renegotiate unequal treaties and study Western ways.,Japanese society,"Iwakura Tomomi, Kido Takayoshi",Positive,Political Events,Asia,0.11976519,0.11759606,0.09133243,0.103425115,0.049620666,0.06385578,0.08472738,0.044531904,0.066048674,0.18255037,0.07649543,5.105896e-05
283,Satsuma Rebellion,Unknown,Unknown,1877,Japan,Military Rebellion,Kyushu,"A revolt of disaffected samurai against the new imperial government, marking the end of samurai rebellion.","Japanese government, samurai",Saigō Takamori,Negative,Military and Conflict,Asia,0.14258997,0.1409908,0.16860144,0.043119058,0.063048825,0.041562248,0.15004058,0.050755028,0.0611256,0.02810068,0.10272698,0.0073388987
284,First SinoUnknownJapanese War,Unknown,Unknown,1894,Japan,Military Conflict,"Korea, China","Demonstrated Japan's military dominance in Asia, leading to the acquisition of Taiwan and Korea's independence.",Chinese and Japanese Empires,Meiji Government,Positive,Military and Conflict,Asia,0.12979405,0.15019715,0.10895185,0.07612955,0.016878404,0.08441134,0.08942642,0.015257244,0.012341097,0.21772304,0.09817185,0.000718004
285,JapanUnknownKorea Annexation Treaty,22,August,1910,Japan,International Agreement,Korea,"Officially annexed Korea, making it a part of the Japanese Empire until the end of World War II.",Korean population,Imperial Japan,Negative,International Relations and Diplomacy,Asia,0.09140222,0.14262095,0.1432516,0.08383494,0.018862236,0.063899375,0.083202615,0.028232357,0.04290282,0.24075097,0.058317002,0.0027229157
286,Washington Naval Conference,Unknown,Unknown,1922,Japan,International Relations,Washington D.C.,Led to naval disarmament and attempted to prevent naval arms race among the major powers.,International community,"USA, UK, Japan, France, Italy",Positive,International Relations and Diplomacy,Asia,0.109874904,0.21999168,0.13757241,0.09946574,0.0681987,0.018328503,0.086513154,0.019601112,0.046941333,0.14331438,0.04192572,0.008272354
287,Manchurian Incident,18,September,1931,Japan,Military Aggression,"Manchuria, China","A staged event used by Japan as a pretext to invade Manchuria, leading to the establishment of Manchukuo.",Chinese and Japanese populations,Imperial Japanese Army,Negative,Other,Asia,0.15027536,0.108256035,0.12747088,0.08897904,0.07270933,0.04999617,0.103065014,0.007840168,0.040516242,0.11435362,0.12553632,0.011001823
288,Marco Polo Bridge Incident,7,July,1937,Japan,Military Conflict,"Near Beijing, China","The start of the fullUnknownscale Second SinoUnknownJapanese War, escalating conflict in East Asia.",Chinese and Japanese populations,"Imperial Japanese Army, Chinese forces",Negative,Military and Conflict,Asia,0.11505383,0.17707199,0.09111717,0.09979464,0.063603476,0.10240136,0.09705672,0.056129128,0.0153663205,0.08860439,0.0859679,0.007833128
289,Japan's Surrender in World War II,2,September,1945,Japan,End of WWII,Tokyo Bay,Marked the end of World War II and the beginning of Japan's postUnknownwar reconstruction and pacifism era.,Japanese population,"Emperor Hirohito, Allied Powers",Negative,Political Events,Asia,0.10008963,0.16300076,0.11514077,0.08249938,0.056182183,0.061477453,0.096434265,0.056896202,0.030165497,0.16275933,0.06731601,0.008038536
290,San Francisco Peace Treaty Signed,8,September,1951,Japan,International Treaty,San Francisco,"Officially ended the state of war between Japan and the Allied Powers, restoring Japan's sovereignty.",Japanese population,Shigeru Yoshida (Prime Minister),Positive,Political Events,Asia,0.09132104,0.13391039,0.11835813,0.056888603,0.017504191,0.034418922,0.09366009,0.01829917,0.075778365,0.30269647,0.057157375,7.280507e-06
291,Japan Joins the United Nations,18,December,1956,Japan,International Relations,New York,Marked Japan's return to the international community and its commitment to global peace and cooperation.,Global community,Japanese government,Positive,International Relations and Diplomacy,Asia,0.08276763,0.06332407,0.0634298,0.053559117,0.004257531,0.05560234,0.07154125,0.012137683,0.011240649,0.5196221,0.06054169,0.0019761513
292,Income Doubling Plan Announced,Unknown,Unknown,1960,Japan,Economic Policy,Japan,"Aimed at doubling the national income, fueling rapid economic growth and improving living standards.",Japanese citizens,Hayato Ikeda (Prime Minister),Positive,Economic and Infrastructure Development,Asia,0.05345445,0.01653607,0.08015569,0.0020449043,0.014839475,0.5586768,0.07306134,0.054098442,7.8009485e-05,0.008802443,0.00028156015,0.13797083
293,Tokyo Olympics,10,October,1964,Japan,International Sports Event,Tokyo,"Showcased Japan's recovery and modernization to the world, fostering national pride and international goodwill.",Global audience,Japanese government,Positive,International Relations and Diplomacy,Asia,0.10431669,0.06522344,0.07381889,0.06415078,0.023914337,0.087202765,0.10675062,0.038567975,0.001949513,0.3033561,0.120506704,0.010242133
294,Osaka Expo '70,15,March,1970,Japan,World's Fair,Osaka,Symbolized Japan's cultural and technological advancements on the world stage.,International visitors,Japanese government,Positive,Other,Asia,0.13699579,0.022108495,0.06547764,0.098618396,0.014780584,0.11949426,0.14156693,0.0055391556,0.0087189535,0.19818966,0.17491847,0.013591695
295,Oil Crisis and Economic Shift,October,Unknown,1973,Japan,Economic Crisis,Japan,Prompted a shift in Japan's economy towards energyUnknownefficient industries and high technology.,Japanese economy,Japanese government,Mixed,Economic and Infrastructure Development,Asia,0.095456146,0.05387551,0.07388345,0.07053693,0.025002481,0.37943983,0.06618717,0.06639189,2.5344716e-05,0.10939737,0.039567772,0.020236121
296,JapanUnknownChina Joint Communiqué,29,September,1972,Japan,Diplomatic Agreement,Beijing,"Normalized diplomatic relations between Japan and China, ending the postUnknownwar state of hostility.",Japanese and Chinese populations,Kakuei Tanaka (Prime Minister),Positive,International Relations and Diplomacy,Asia,0.08587744,0.08580703,0.10183812,0.044792596,0.014724037,0.045742523,0.06202785,0.018977301,0.042072583,0.4525777,0.04137021,0.004192638
298,Heisei Era Begins,8,January,1989,Japan,Era Change,Japan,"The ascension of Emperor Akihito marked the beginning of the Heisei era, symbolizing peace and recovery.",Japanese population,Emperor Akihito,Positive,Political Events,Asia,0.14347303,0.078428306,0.120043606,0.08442211,0.016642207,0.08564487,0.17317331,0.024955682,0.05775844,0.0658261,0.1380021,0.011630264
299,Great Hanshin Earthquake,17,January,1995,Japan,Natural Disaster,Kobe,"One of the deadliest earthquakes in Japan's history, leading to significant loss of life and damage.",Residents of affected area,Unknown,Negative,Environmental and Health,Asia,0.023952775,0.04352577,0.01865639,0.06255135,0.23832291,0.052727073,0.04370041,0.46437192,0.003781078,0.010027217,0.037336785,0.001046246
300,Aum Shinrikyo Tokyo Subway Sarin Attack,20,March,1995,Japan,Terrorism,Tokyo,"A deadly terrorist attack by a doomsday cult, shaking public security and trust in authorities.","Commuters, general public",Aum Shinrikyo cult,Negative,Crisis and Emergency Response,Asia,0.068280905,0.066870004,0.064447135,0.07012524,0.4674756,0.019462582,0.045785364,0.10498244,0.008243969,0.030619401,0.052624125,0.0010832746
302,Japan's Apology for WWII Aggressions,15,August,1995,Japan,Diplomatic Statement,Japan,Prime Minister Tomiichi Murayama issued a formal apology for Japan's wartime aggressions.,Asian neighbors,Tomiichi Murayama (Prime Minister),Positive,Other,Asia,0.10963153,0.11258591,0.11704891,0.031237593,0.12304179,0.0045875264,0.07713951,0.08188397,0.042493664,0.23952727,0.06080285,1.9477411e-05
303,Kyoto Protocol on Climate Change,11,December,1997,Japan,International Agreement,Kyoto,"An international treaty committing its parties to reduce greenhouse gas emissions, based on the premise of global warming.",Global community,International participants,Positive,International Relations and Diplomacy,Asia,0.07840807,0.052553568,0.11071926,0.065440476,0.01948373,0.085272506,0.08341979,0.13561499,0.1037095,0.22206579,0.031105293,0.012207109
305,Fukushima Daiichi Nuclear Disaster,11,March,2011,Japan,Nuclear Accident,Fukushima,"Triggered by a massive earthquake and tsunami, it was one of the worst nuclear disasters in history.","Residents of affected area, global community","TEPCO, Japanese government",Negative,Political Events,Asia,0.01685612,0.030543635,0.031606052,0.13155125,0.2743307,0.042971563,0.02800522,0.4181951,0.0059925243,0.008224001,0.0079912925,0.0037326317
306,JapanUnknownKorea Comfort Women Agreement,28,December,2015,Japan,Diplomatic Agreement,Seoul,"Aimed to resolve the longUnknownstanding issue of ""comfort women"" during WWII, though met with criticism and controversy.","Victims, South Korean and Japanese populations","Shinzo Abe (Prime Minister), Park GeunUnknownhye",Mixed,International Relations and Diplomacy,Asia,0.09990715,0.08575471,0.083131224,0.009647119,0.010275071,0.015315068,0.10161897,0.051193688,0.053224236,0.4267381,0.04744848,0.015746176
307,Emperor Akihito's Abdication,30,April,2019,Japan,Historical,Tokyo,"Marked the first abdication of a Japanese emperor in over two centuries, leading to the Reiwa era.",Japanese population,Emperor Akihito,Positive,Other,Asia,0.15057603,0.0783337,0.15411355,0.083177306,0.014462683,0.025421638,0.10982415,0.0038707466,0.08513129,0.11070448,0.18382744,0.00055701437
308,2020 Tokyo Olympics Postponement,24,March,2020,Japan,International Sports Event,Tokyo,The Olympics were postponed for the first time in history due to the COVIDUnknown19 pandemic.,"Global audience, athletes","International Olympic Committee, Japanese government",Mixed,International Relations and Diplomacy,Asia,0.016353784,0.040092964,0.11574458,0.12760822,0.048170205,0.007421902,0.09484741,0.04489612,0.0027550855,0.3693151,0.028663995,0.10413061
309,Reiwa Era Begins,1,May,2019,Japan,Era Change,Japan,"The ascension of Emperor Naruhito marked the beginning of the Reiwa era, symbolizing harmony and peace.",Japanese population,Emperor Naruhito,Positive,Political Events,Asia,0.17082559,0.08793932,0.13043942,0.050982505,0.0074245897,0.07009352,0.16514687,0.022220159,0.057045057,0.10605656,0.12957427,0.002252161
310,Arrival of the First Fleet,26,January,1788,Australia,Colonial Settlement,Sydney Cove,"Marked the beginning of British colonization in Australia, leading to the establishment of New South Wales.","Indigenous Australians, British convicts",Captain Arthur Phillip,Mixed,Other,Australia,0.2158796,0.1266848,0.08725702,0.13263181,0.017500166,0.1160929,0.13379256,0.014635266,0.02682907,0.06460782,0.044506114,0.019583002
311,Establishment of the Colony of Van Diemen's Land,Unknown,Unknown,1803,Australia,Colonial Expansion,Tasmania,"Expanded British territorial claims in Australia, significantly impacting the indigenous population.","Tasmanian Aboriginal people, British settlers",British Colonial Administration,Negative,Other,Australia,0.20517987,0.13550477,0.09973649,0.043988224,0.046143826,0.09788971,0.09580709,0.06882404,0.095840186,0.04655755,0.061582044,0.00294613
312,Gold Rushes Begin,Unknown,Unknown,1851,Australia,Economic,"New South Wales, Victoria","Triggered mass migration to Australia, significantly boosting the economy and population.",Australian colonies,Gold prospectors,Positive,Economic and Infrastructure Development,Australia,0.15091164,0.06624669,0.04250763,0.08991694,0.0493098,0.33117312,0.099874526,0.07298009,0.0029323848,0.027614214,0.047028884,0.019504054
313,Eureka Stockade,3,December,1854,Australia,Rebellion,"Ballarat, Victoria","A miners' rebellion against colonial authorities, considered a pivotal event in the development of democracy in Australia.","Miners, colonial authorities",Peter Lalor,Positive,Military and Conflict,Australia,0.18578155,0.10746336,0.1413081,0.052820094,0.031298682,0.11997919,0.15406038,0.04818939,0.073505685,0.021132048,0.062417176,0.0020444477
314,Establishment of the Commonwealth of Australia,1,January,1901,Australia,Federation,Entire Australia,"Unification of the six colonies into a federated nation, marking the birth of modern Australia.",Australian population,Edmund Barton,Positive,Political Events,Australia,0.17167357,0.09994354,0.144398,0.04435277,0.0008838609,0.1298054,0.13468474,0.014326538,0.08686772,0.12040202,0.047689833,0.004972124
